"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J'dy(",,"","2025-06-15 12:51:00","5405475428","e1cab339-14bc-44bf-ad25-0f5ce406406e","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J=TYy",,"","2025-06-15 12:51:00","5405475428","240feac8-18a5-452b-9c08-6f685ca76845","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J)gcT",,"","2025-06-15 12:51:00","5405475428","f0d0064e-ab56-45f8-86a5-e04c4ea1cc35","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:50:36","Молочная продукция","Новосибирская область","Новосибирская обл, Карасукский р-н, г Карасук, ул Кутузова, 8В","572607380440700615882482","0104627175131030215iMdrP",,"","2025-06-15 12:45:00","5405475428","d3845a32-e916-4c89-a4bd-9b002bdad1c3","Нет",,,,,,,,"04627175131030","bbc43035-35ff-4b35-9c05-4ccd81863f06","Карасукский","7380440700615882","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:46:58","Молочная продукция","Новосибирская область","Новосибирская обл, г Бердск, пер Промышленный, 2А","343497380440801336116482","0104627175131030215/RIY5",,"","2025-06-15 12:39:00","5405475428","14f8ce37-806a-49b9-845a-1d7978ffad86","Нет",,,,,,,,"04627175131030","1b7e1040-d6b6-44dc-92c7-23568ae78b00","Бердск","7380440801336116","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:46:58","Молочная продукция","Новосибирская область","Новосибирская обл, Сузунский р-н, рп Сузун, ул Строительная, 16А","61667380440801807306482","0104627175131030215)h-vb",,"","2025-06-15 12:41:00","5405475428","f43224fd-2bf1-4e70-9a35-3c6901b115cb","Нет",,,,,,,,"04627175131030","71658687-2b2a-4560-a004-3487df317872","Сузунский","7380440801807306","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:41:06","Молочная продукция","Новосибирская область","Новосибирская обл, Новосибирский р-н, с Толмачево, ул Победы, 1","97777380440801963220482","0104627175131030215W1cCJ",,"","2025-06-15 12:32:00","5405475428","69d0e80b-1232-4f69-9c59-356f21c88c13","Нет",,,,,,,,"04627175131030","f5f6c29b-549f-48e3-9baa-d4b82931d59d","Новосибирский","7380440801963220","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:41:06","Молочная продукция","Новосибирская область","Новосибирская обл, Венгеровский р-н, с Венгерово, ул Ленина, 215А","305567380440700617040482","0104627175131030215xEz2N",,"","2025-06-15 12:31:00","5405475428","98478bab-29e3-4e51-8453-a31bf1c471f5","Нет",,,,,,,,"04627175131030","2303e7ec-a36a-493f-8e4c-90161954c894","Венгеровский","7380440700617040","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:38:51","Молочная продукция","Новосибирская область","Новосибирская обл, Черепановский р-н, г Черепаново, ул Спирякова, 224","42437380440902157725482","0104631149767811215&4S=&",,"","2025-06-15 12:27:00","5405475428","7bced4de-3f07-4016-b952-b5dfbe58255f","Нет",,,,,,,,"04631149767811","00d4c333-0f0a-4e9e-9625-32feddce4367","Черепановский","7380440902157725","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:38:51","Молочная продукция","Новосибирская область","Новосибирская обл, Черепановский р-н, г Черепаново, ул Спирякова, 224","42437380440902157725482","0104631149767811215&yppT",,"","2025-06-15 12:27:00","5405475428","b8b8742f-a7e3-48d1-8c01-a4ca3a98b26a","Нет",,,,,,,,"04631149767811","00d4c333-0f0a-4e9e-9625-32feddce4367","Черепановский","7380440902157725","Да"
